               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.026008,           0.0051418,            0.010315,             0.71257,             0.64557,              0.6894,             0.45731,            0.034322,            0.012402,             0.03913,            0.008251,            0.008251,            0.008251
                  55,            0.026984,           0.0053163,            0.010683,             0.72813,             0.56815,             0.67676,             0.47429,            0.034379,            0.015864,            0.032941,            0.008218,            0.008218,            0.008218
                  56,            0.027884,           0.0050844,            0.009013,              0.6476,             0.68117,             0.74289,             0.47791,            0.036047,            0.012504,            0.029503,            0.008185,            0.008185,            0.008185
                  57,            0.026565,           0.0053657,           0.0095725,             0.70258,             0.56917,             0.66158,             0.45436,             0.03542,            0.012948,            0.041986,            0.008152,            0.008152,            0.008152
                  58,            0.027449,           0.0050866,            0.009521,             0.68309,             0.54831,               0.645,             0.42737,            0.032828,            0.012313,            0.046436,            0.008119,            0.008119,            0.008119
                  59,             0.02428,           0.0053562,           0.0097491,             0.75482,             0.62208,             0.76615,             0.57352,            0.031816,            0.011462,            0.029558,            0.008086,            0.008086,            0.008086
                  60,            0.024867,           0.0051897,             0.00822,             0.74908,             0.72016,             0.77993,             0.57388,            0.031484,            0.011156,            0.027365,            0.008053,            0.008053,            0.008053
                  61,            0.026583,           0.0055213,           0.0081153,              0.7258,              0.6988,             0.73612,             0.50404,            0.034181,            0.011907,             0.03214,             0.00802,             0.00802,             0.00802
                  62,            0.026031,           0.0049157,           0.0094354,             0.76527,             0.70729,             0.73979,             0.51355,            0.031834,            0.010977,            0.030038,            0.007987,            0.007987,            0.007987
                  63,            0.026502,           0.0050673,           0.0072204,             0.70579,             0.70955,             0.73449,             0.54201,            0.030745,            0.011292,            0.032135,            0.007954,            0.007954,            0.007954
                  64,            0.024845,           0.0051755,           0.0074228,             0.63652,             0.70883,             0.70751,             0.50662,            0.031348,            0.011471,            0.033344,            0.007921,            0.007921,            0.007921
                  65,            0.025285,           0.0055063,           0.0096373,              0.7536,             0.67128,             0.73083,             0.53351,             0.03226,            0.010774,            0.030199,            0.007888,            0.007888,            0.007888
                  66,            0.026105,           0.0051272,           0.0061433,             0.72782,             0.73941,             0.77226,             0.56461,            0.029649,            0.010175,            0.026353,            0.007855,            0.007855,            0.007855
                  67,            0.024184,              0.0051,           0.0076746,             0.80105,             0.63946,             0.76992,             0.56705,            0.028903,           0.0094817,            0.032167,            0.007822,            0.007822,            0.007822
                  68,              0.0244,            0.004866,           0.0062851,             0.75076,             0.65102,             0.77271,             0.58492,            0.030421,           0.0098089,            0.034364,            0.007789,            0.007789,            0.007789
                  69,            0.023825,           0.0048924,           0.0074856,             0.74919,             0.66299,             0.77859,             0.55625,             0.03159,           0.0098459,            0.035156,            0.007756,            0.007756,            0.007756
                  70,            0.024685,           0.0047986,           0.0075083,             0.77473,             0.64708,             0.77469,             0.58181,            0.030655,            0.010898,            0.040173,            0.007723,            0.007723,            0.007723
                  71,            0.026753,           0.0050384,            0.006935,             0.75808,             0.66796,             0.78279,             0.57954,            0.033382,            0.010852,            0.037473,             0.00769,             0.00769,             0.00769
                  72,            0.024465,           0.0047011,           0.0050889,             0.79902,             0.67739,             0.81886,                0.58,            0.030658,            0.010215,             0.03544,            0.007657,            0.007657,            0.007657
                  73,            0.024529,           0.0046658,           0.0067013,             0.75753,             0.66332,             0.79257,             0.62455,            0.028281,            0.010054,            0.040622,            0.007624,            0.007624,            0.007624
                  74,            0.022968,           0.0047338,           0.0061611,              0.8751,             0.57586,             0.79834,             0.63011,            0.029349,           0.0094897,            0.045209,            0.007591,            0.007591,            0.007591
                  75,            0.024476,           0.0045514,            0.007031,             0.85862,             0.58871,             0.80442,             0.58454,            0.031452,            0.010879,            0.038187,            0.007558,            0.007558,            0.007558
                  76,            0.024588,           0.0050084,           0.0066536,             0.78286,             0.68827,             0.81838,             0.62411,            0.028329,            0.012246,             0.02894,            0.007525,            0.007525,            0.007525
                  77,            0.022541,           0.0050789,           0.0079149,             0.79814,             0.71761,             0.80811,             0.62755,            0.027167,            0.011277,            0.030222,            0.007492,            0.007492,            0.007492
                  78,            0.024472,           0.0048204,           0.0066436,             0.81746,             0.60239,             0.74358,             0.52012,             0.03484,            0.010644,            0.050739,            0.007459,            0.007459,            0.007459
